DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2021,26.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2022,27.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IS,2014,22.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IS,2015,24.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IS,2016,24.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IS,2017,25.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IS,2018,23.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2014,32.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2015,32.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2016,33.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2017,32.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2018,33.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2019,32.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2020,32.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2021,32.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IT,2022,32.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2014,35.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2015,37.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2016,37.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2017,37.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2018,36.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2019,35.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2020,35.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2021,35.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LT,2022,36.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2014,28.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2015,28.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2016,29.6,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2017,29.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2018,31.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2019,32.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2020,31.2,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2021,29.6,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LU,2022,29.1,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LV,2014,35.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LV,2015,35.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,LV,2016,34.5,
